glottocode,name,level,iso639_3,family_id,family_name,parent_id,parent_name,macroareas,countries,latitude,longitude
aban1242,Abanyom,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abm,atla1278,Atlantic-Congo,aban1245,Abanyom-Nkem-Nkum,Africa,Nigeria,6.30619,8.63055
abua1244,Abua,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abn,atla1278,Atlantic-Congo,abua1243,Abua-Odual,Africa,Nigeria,4.83057,6.61492
abon1238,Abon,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abo,atla1278,Atlantic-Congo,nort3192,North Tivoid,Africa,Cameroon;Nigeria,6.90621,10.8769
aben1249,Abenlen Ayta,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abp,aust1307,Austronesian,abel1234,Abellen-Botolan,Papunesia,Philippines,15.4131,120.2
abaz1241,Abaza,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abq,abkh1242,Abkhaz-Adyge,abkh1243,Abkhaz-Abaza,Eurasia,Russian Federation;Türkiye,44.25,42.0
abro1238,Abron,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abr,atla1278,Atlantic-Congo,akan1251,Akanic,Africa,Côte d'Ivoire;Ghana,7.72094,-2.50289
ambo1250,Ambonese Malay,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abs,aust1307,Austronesian,ambo1253,Ambonic Malay,Papunesia,Indonesia,-3.71342,128.184
ambu1247,Ambulas,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abt,nduu1242,Ndu,ambu1246,Ambulas-Hanga-Hundi,Papunesia,Papua New Guinea,-3.7801,143.059
abur1243,Abure,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abu,atla1278,Atlantic-Congo,west2816,Western Tano,Africa,Côte d'Ivoire,5.21534,-3.64123
baha1259,Baharna Arabic,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abv,afro1255,Afro-Asiatic,nort3402,North Arabian Beduin Arabic,Eurasia,Bahrain;Oman,26.223615,50.580811
pall1244,Pal,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abw,nucl1709,Nuclear Trans New Guinea,omos1240,Omosan,Papunesia,Papua New Guinea,-4.756,145.24
inab1237,Inabaknon,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abx,aust1307,Austronesian,sama1302,Sama-Bajaw,Papunesia,Philippines,12.4264,124.166
anem1248,Aneme Wake,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aby,yare1250,Yareban,dori1247,Doriri-Abia,Papunesia,Papua New Guinea,-9.75911,148.479
abui1241,Abui,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abz,timo1261,Timor-Alor-Pantar,abui1242,Abuic,Papunesia,Indonesia,-8.31058,124.588
acha1250,Achagua,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aca,araw1281,Arawakan,piap1247,Piapoco-Achagua,South America,Colombia,4.38649,-72.2005
anca1236,Áncá,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",acb,book1242,Bookkeeping,book1242,Bookkeeping,Africa,Nigeria,6.66524,11.1087
giky1238,Gikyode,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",acd,atla1278,Atlantic-Congo,giky1241,Gikyode-Foodo,Africa,Ghana;Togo,8.39478,0.56975
achi1257,Acehnese,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",ace,aust1307,Austronesian,cham1327,Aceh-Chamic,Papunesia,Indonesia,3.90757,96.6032
sain1246,Saint Lucian Creole French,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",acf,indo1319,Indo-European,less1242,Lesser Antillean French Creole,North America,Saint Lucia,15.3947,-61.3641
acol1236,Acoli,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",ach,nilo1247,Nilotic,sout2831,Southern Lwoo,Africa,South Sudan;Uganda,3.57738,32.5147
akac1240,Akacari,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aci,grea1241,Great Andamanese,boca1235,Bo-Cari,Eurasia,India,13.49086,92.94855
akak1251,Akakora,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",ack,grea1241,Great Andamanese,jeru1239,Jeru-Kora,Eurasia,India,12.0944,92.7466
akar1243,Akarbale,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",acl,grea1241,Great Andamanese,sout2683,South Great Andamanese,Eurasia,India,12.6663,92.8278
meso1252,Gilit Mesopotamian Arabic,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",acm,afro1255,Afro-Asiatic,east2729,Eastern Arabic,Eurasia,"Iraq;Iran, Islamic Republic of;Jordan;Syrian Arab Republic;Türkiye",33.8178,43.1095
acha1249,Longchuan Achang,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",acn,sino1245,Sino-Tibetan,acha1252,Achangic,Eurasia,China;Myanmar,24.3479,97.7438
east2403,Eastern Acipa,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",acp,atla1278,Atlantic-Congo,saga1266,Sagamuk-Sama-Sambuga,Africa,Nigeria,10.7104,6.0105
taiz1242,Ta'izzi-Adeni Arabic,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",acq,afro1255,Afro-Asiatic,arab1393,Arabian Peninsula Arabic,Eurasia,Eritrea;Saudi Arabia;Yemen,13.6555,45.6411
achi1256,Achi,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",acr,maya1287,Mayan,quic1275,Quiche-Achi,North America,Guatemala,15.073,-90.3513
acro1239,Acroá,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",acs,nucl1710,Nuclear-Macro-Je,jece1235,Central Je,South America,Brazil,-12.20318,-45.08975
acht1238,Achterhoeks,"LanguoidLevel(ordinal=3, id='dialect', description='any variety which is not a language')",act,indo1319,Indo-European,west2356,Westphalic,Eurasia,Germany;Netherlands,52.021,6.47521
achu1248,Achuar-Shiwiar,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",acu,jiva1245,Chicham,shua1256,Shuaric,South America,Ecuador;Peru,-2.82646,-77.2641
achu1247,Achumawi,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",acv,pala1350,Palaihnihan,pala1350,Palaihnihan,North America,United States,41.0979,-121.191
hija1235,Hijazi Arabic,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",acw,afro1255,Afro-Asiatic,arab1393,Arabian Peninsula Arabic,Eurasia,Saudi Arabia;Yemen,22.8346,38.9237
oman1239,Omani Arabic,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",acx,afro1255,Afro-Asiatic,nort3402,North Arabian Beduin Arabic,Eurasia,United Arab Emirates;Oman,23.25,58.5
cypr1248,Cypriot Arabic,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",acy,afro1255,Afro-Asiatic,leva1239,Levantine-Cypriot Arabic,Eurasia,Cyprus,35.1674,33.0943
ache1245,Acheron,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",acz,narr1279,Narrow Talodi,ache1247,Acheron-Tocho,Africa,Sudan,10.8827,30.3187
adan1247,Adangme,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",ada,atla1278,Atlantic-Congo,gada1257,Ga-Dangme,Africa,Ghana,5.9437,0.13243
adab1235,Adabe,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",adb,book1242,Bookkeeping,book1242,Bookkeeping,Papunesia,Indonesia;Timor-Leste,-8.22674,125.576
dzod1238,Dzodinka,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",add,atla1278,Atlantic-Congo,nkam1238,Nkambe,Africa,Cameroon;Nigeria,6.89005,10.7633
adel1244,Adele,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",ade,atla1278,Atlantic-Congo,basi1245,Basila-Adele,Africa,Ghana;Togo,8.16975,0.619185
dhof1235,Dhofari Arabic,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",adf,afro1255,Afro-Asiatic,dhof1236,Dhofaric,Eurasia,Oman,17.0796,54.4894
ande1247,Andegerebinha,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",adg,pama1250,Pama-Nyungan,cent2403,Central-Eastern Arrernte,Australia,Australia,-22.51278,137.3515
adho1243,Adhola,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",adh,nilo1247,Nilotic,adho1242,Adhola-Luo,Africa,Kenya;Uganda,0.73235,34.0341
bori1243,Bori-Karko,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",adi,sino1245,Sino-Tibetan,east2361,Eastern Tani,Eurasia,Bhutan;China;India,27.62812,94.3538
adio1239,Adioukrou,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",adj,atla1278,Atlantic-Congo,agne1238,Agneby,Africa,Côte d'Ivoire,5.38228,-4.52522
galo1242,Galo,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",adl,sino1245,Sino-Tibetan,suba1255,Subansiri,Eurasia,India,27.9805586,94.6884956
adan1251,Adang,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",adn,timo1261,Timor-Alor-Pantar,adan1252,West Alor,Papunesia,Indonesia,-8.18958,124.448
abuu1241,Abu,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",ado,ramu1234,Ramu,agoa1234,Agoan,Papunesia,Papua New Guinea,-4.24027,144.474
adan1248,Adangbe,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",adq,atla1278,Atlantic-Congo,ewei1234,Eweic,Africa,Ghana;Togo,6.50546,0.727155
adon1237,Adonara,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",adr,aust1307,Austronesian,nort3216,North Lembata-Adonara,Papunesia,Indonesia,-8.32027,123.159
adam1238,Adamorobe Sign Language,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",ads,sign1238,Sign Language,deaf1237,L1 Sign Language,Africa,Ghana,5.834,-0.151
adny1235,Adnyamathanha,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",adt,pama1250,Pama-Nyungan,nort2752,Northern Thura-Yura,Australia,Australia,-30.1451,138.671
adug1238,Aduge,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",adu,book1242,Bookkeeping,book1242,Bookkeeping,Africa,Nigeria,7.64567,6.13085
amun1246,Amundava,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",adw,tupi1275,Tupian,amon1240,Amondava-Uru-Eu-Wau-Wau,South America,Brazil,-9.04023,-62.3064
amdo1237,Amdo Tibetan,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",adx,sino1245,Sino-Tibetan,nort3398,North-Eastern Tibetic,Eurasia,China,34.5177,100.485
adyg1241,West Circassian,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",ady,abkh1242,Abkhaz-Adyge,circ1239,Circassian,Eurasia,Israel;Jordan;Russian Federation;Syrian Arab Republic;Türkiye,44.0,39.33
adze1240,Adzera,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",adz,aust1307,Austronesian,uppe1423,Upper Markham,Papunesia,Papua New Guinea,-6.39394,146.294
areb1238,Areba,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aea,pama1250,Pama-Nyungan,ribg1235,Rib-Gurdjar,Australia,Australia,-16.63548,142.63107
tuni1259,Tunisian Arabic,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aeb,afro1255,Afro-Asiatic,malt1259,Malta-Tunisian Arabic,Africa,Algeria;Libya;Tunisia,33.7966,9.56156
said1239,Saidi Arabic,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aec,afro1255,Afro-Asiatic,egyp1254,Egypto-Sudanic Arabic,Africa,Egypt;Sudan,25.4132,30.5302
arge1236,Argentine Sign Language,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aed,sign1238,Sign Language,deaf1237,L1 Sign Language,South America,Argentina,-34.797,-59.1798
nort2666,Northeast Pashayi,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aee,indo1319,Indo-European,east2322,Eastern Pashayi,Eurasia,Afghanistan,34.878256,70.890845
haek1239,Haeke,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aek,aust1307,Austronesian,haek1241,Haeke-Bwatoo,Papunesia,New Caledonia,-21.0735,164.869
ambe1247,Ambele,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",ael,atla1278,Atlantic-Congo,wide1239,Wide Grassfields,Africa,Cameroon,5.94043,9.62028
arem1240,Arem,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aem,aust1305,Austroasiatic,chut1246,East Chutic,Eurasia,Lao People's Democratic Republic;Viet Nam,17.7672,105.928
arme1259,Baraninsky Armenian Sign Language,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aen,sign1238,Sign Language,auxi1235,Auxiliary Sign Systems,Eurasia,Armenia,40.1002,44.4767
aerr1238,Aer,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aeq,indo1319,Indo-European,west2830,Western Gujaratic,Eurasia,Pakistan,25.254,69.029
east2379,Eastern Arrernte,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aer,pama1250,Pama-Nyungan,cent2403,Central-Eastern Arrernte,Australia,Australia,-23.3583,135.046
alse1251,Alsea-Yaquina,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aes,,,,,North America,United States,44.408,-123.94
akeu1235,Akeu,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aeu,sino1245,Sino-Tibetan,akeu1236,Akeuic,Eurasia,China;Lao People's Democratic Republic;Myanmar;Thailand,22.1959,101.0823
amba1269,Ambakich,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aew,kera1258,Keram,east2864,East Keram,Papunesia,Papua New Guinea,-4.23181,144.285
amel1241,Amele,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aey,nucl1709,Nuclear Trans New Guinea,gumm1240,Gum,Papunesia,Papua New Guinea,-5.29126,145.687
aeka1244,Aeka,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aez,nucl1709,Nuclear Trans New Guinea,orok1268,Orokaivic,Papunesia,Papua New Guinea,-8.855095,147.99477
gulf1241,Gulf Arabic,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",afb,afro1255,Afro-Asiatic,nort3402,North Arabian Beduin Arabic,Eurasia,"United Arab Emirates;Bahrain;Iraq;Iran, Islamic Republic of;Kuwait;Oman;Qatar;Saudi Arabia;Yemen",30.17,47.5
anda1283,Andai,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",afd,araf1243,Arafundi,araf1243,Arafundi,Papunesia,Papua New Guinea,-4.96449,143.637
putu1241,Utugwang-Irungene-Afrike,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",afe,atla1278,Atlantic-Congo,nucl1801,Nuclear Bendic,Africa,Nigeria,6.65923,8.96041
afgh1239,Afghan Sign Language,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",afg,sign1238,Sign Language,deaf1237,L1 Sign Language,Eurasia,Afghanistan,34.434167,70.447778
afri1275,Afrihili,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",afh,arti1236,Artificial Language,arti1236,Artificial Language,Africa,Ghana,,
akru1241,Chini,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",afi,ramu1234,Ramu,tamo1242,Tamolan,Papunesia,Papua New Guinea,-4.88687,144.821
nanu1240,Nanubae-Imangae,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",afk,araf1243,Arafundi,araf1243,Arafundi,Papunesia,Papua New Guinea,-4.71731,143.937
defa1248,Defaka,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",afn,ijoi1239,Ijoid,ijoi1239,Ijoid,Africa,Nigeria,4.58451,7.50186
eloy1241,Ajiri,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",afo,atla1278,Atlantic-Congo,benu1248,Benue-Congo Plateau,Africa,Nigeria,8.24696,7.97061
tape1242,Tapei,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",afp,araf1243,Arafundi,araf1243,Arafundi,Papunesia,Papua New Guinea,-4.77763,143.337
afri1274,Afrikaans,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",afr,indo1319,Indo-European,afri1273,Afrikaansic,Africa,Botswana;Mozambique;Namibia;South Africa;Zambia;Zimbabwe,-31.63272,20.46356
afro1254,Afro-Seminole Creole,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",afs,indo1319,Indo-European,gull1243,Gullah,North America,Mexico;United States,31.7843,-99.2934
afit1238,Afitti,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aft,nyim1244,Nyimang,nyim1244,Nyimang,Africa,Sudan,12.446,30.7611
awut1241,Awutu,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",afu,atla1278,Atlantic-Congo,sout2781,South Guang,Africa,Ghana,5.42441,-0.59545
obok1239,Obokuitai,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",afz,lake1255,Lakes Plain,erit1238,Eritai-Obokuitai-Biritai,Papunesia,Indonesia,-2.88029,137.924
agua1251,Aguano,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aga,unat1236,Unattested,araw1288,Arawakan (Unattested),South America,Peru,-5.25,-75.8333
legb1242,Legbo,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",agb,atla1278,Atlantic-Congo,legb1241,Legboic,Africa,Nigeria,6.02645,7.98385
agat1236,Agatu,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",agc,atla1278,Atlantic-Congo,idom1263,Idoma-Agatu-Okpogu,Africa,Nigeria,7.97915,7.71639
agar1252,Agarabi,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",agd,nucl1709,Nuclear Trans New Guinea,gads1260,Gadsup-Agarabi,Papunesia,Papua New Guinea,-6.20604,145.917
anga1293,Angal,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",age,nucl1709,Nuclear Trans New Guinea,anga1314,Angal Mendi,Papunesia,Papua New Guinea,-6.0127,143.592
argu1237,Arguni,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",agf,aust1307,Austronesian,bomb1263,Nuta,Papunesia,Indonesia,-2.645798,132.5556
ango1254,Angor,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",agg,sena1264,Senagi,sena1264,Senagi,Papunesia,Papua New Guinea,-3.7167,141.199
ngel1238,Ngelima,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",agh,atla1278,Atlantic-Congo,late1250,Late Bomokandian,Africa,"Congo, The Democratic Republic of the",1.81314,24.8754
agar1251,Agariya,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",agi,unat1236,Unattested,drav1252,Dravidian (Unattested),Eurasia,India,24.5024,82.297
argo1244,Argobba,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",agj,afro1255,Afro-Asiatic,amha1244,Amharic-Argobba,Africa,Ethiopia,10.6596,39.756
isar1235,Isarog Agta,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",agk,aust1307,Austronesian,inag1234,Inagta Bikol,Papunesia,Philippines,13.651,123.332
